market,t_off,idx,side,outcome,size,price,usdc,score,dscore,ofi,bsi,cvd,up_bid,up_ask,down_bid,down_ask,bid_sum,ask_sum,intent_before,dom_filled,opp_filled,avg_dom,avg_opp,avg_sum,imbalance,gap_to_prev_trade_s,candidate_trigger,candidate_role,confidence,predicted_opener,opener_rule,opener_match
btc-updown-5m-1777467000,6,0,BUY,Up,40.0000,0.5400,21.6000,5.0225,+0.0000,+0.6859,+0.0447,+0.0726,0.530,0.540,0.460,0.470,0.990,1.010,,0.00,0.00,0.0000,0.0000,0.0000,+0.000,,signal_open,opener_dom,high,Up,momentum_score_avg,match
btc-updown-5m-1777467000,16,1,BUY,Up,18.7800,0.5400,10.1412,6.7403,+1.7178,+0.9634,+0.7590,+1.1229,0.580,0.590,0.410,0.420,0.990,1.010,Up,40.00,0.00,0.5400,0.0000,0.0000,+1.000,10,unknown,unknown,low,Up,momentum_score_avg,
btc-updown-5m-1777467000,18,2,BUY,Up,41.0000,0.5800,23.7800,6.8836,+0.1433,+0.9757,+1.2407,+1.7130,0.640,0.650,0.350,0.360,0.990,1.010,Up,58.78,0.00,0.5400,0.0000,0.0000,+1.000,2,pyramid_signal,pyramid_dom,medium,Up,momentum_score_avg,
btc-updown-5m-1777467000,22,3,BUY,Up,42.0000,0.5982,25.1248,7.5647,+0.6812,+0.9348,+0.7970,+1.7187,0.640,0.650,0.350,0.360,0.990,1.010,Up,99.78,0.00,0.5564,0.0000,0.0000,+1.000,4,pyramid_signal,pyramid_dom,medium,Up,momentum_score_avg,
btc-updown-5m-1777467000,22,4,BUY,Up,43.0000,0.6400,27.5200,7.5647,+0.0000,+0.9348,+0.7970,+1.7187,0.640,0.650,0.350,0.360,0.990,1.010,Up,141.78,0.00,0.5688,0.0000,0.0000,+1.000,0,pyramid_signal,pyramid_dom,medium,Up,momentum_score_avg,
btc-updown-5m-1777467000,26,5,BUY,Up,42.0000,0.6200,26.0400,7.6513,+0.0866,+0.9347,+0.5581,+1.7256,0.620,0.630,0.370,0.380,0.990,1.010,Up,184.78,0.00,0.5854,0.0000,0.0000,+1.000,4,pyramid_signal,pyramid_dom,medium,Up,momentum_score_avg,
btc-updown-5m-1777467000,38,6,BUY,Down,42.0000,0.3900,16.3800,7.5135,-0.1379,+0.9392,+0.2823,+2.0132,0.620,0.630,0.370,0.380,0.990,1.010,Up,226.78,0.00,0.5918,0.0000,0.0000,+1.000,12,parity_gap,hedge_topup,medium,Up,momentum_score_avg,
btc-updown-5m-1777467000,50,7,BUY,Up,44.0000,0.6335,27.8728,7.7599,+0.2464,+0.6170,+0.3847,+2.2867,0.660,0.670,0.330,0.340,0.990,1.010,Up,226.78,42.00,0.5918,0.3900,0.9818,+0.687,12,price_drift,requote_dom,medium,Up,momentum_score_avg,
btc-updown-5m-1777467000,50,8,BUY,Up,1.5800,0.6600,1.0428,7.7599,+0.0000,+0.6170,+0.3847,+2.2867,0.660,0.670,0.330,0.340,0.990,1.010,Up,270.78,42.00,0.5986,0.3900,0.9886,+0.731,0,price_drift,requote_dom,medium,Up,momentum_score_avg,
btc-updown-5m-1777467000,50,9,BUY,Up,10.0000,0.6500,6.5000,7.7599,+0.0000,+0.6170,+0.3847,+2.2867,0.660,0.670,0.330,0.340,0.990,1.010,Up,272.36,42.00,0.5989,0.3900,0.9889,+0.733,0,price_drift,requote_dom,medium,Up,momentum_score_avg,
